iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,SEs_Accuracy,SEs_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
3,30,10,NelderMead_nAGQ1,976.840201208077,0.0037725592771574823,0.6748651448450744,8.127878904342651,0.5373438949277225,-0.11355749125205558,0.1855098509863108,0.2707099467158264,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.019945144653320312
3,30,10,Bobyqa_nAGQ0,976.8700861646525,0.0025007465384037863,0.3719540323634401,1.810441017150879,0.5315814608595275,-0.11078794586539202,0.17583106540687957,0.12408778032300388,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.019945144653320312
3,30,10,Bobyqa_nAGQ1,976.8402004349323,0.003773946352934084,0.6747597152318937,3.2979540824890137,0.5373410286323048,-0.1135962295038111,0.18551624874799477,0.2707091761675985,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.019945144653320312
3,30,10,nloptwrap_nAGQ0,977.2819888110823,0.0016915973669370061,0.33730519401048975,0.5535311698913574,0.5396775702899704,-0.11588895098229343,0.17189194041859823,0.12078013241659986,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.019945144653320312
3,30,10,nloptwrap_nAGQ1,977.2519841898364,0.0022985838521260783,0.6672570863415639,1.251966953277588,0.548968988597534,-0.11681973177683343,0.18006847471311196,0.2717271719087865,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.019945144653320312
3,30,10,R: LRT,0.0,0.0,1.0,0.7561860084533691,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.019945144653320312
3,30,10,JuliaAIC_NeldMeader_AGP0,976.8699963629517,0.0025006738922393242,0.3719337980362948,3.831,0.5315843494685025,-0.11079274176535474,0.17583150961711275,0.124087901277863,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.019945144653320312
3,30,10,JuliaAIC_bobyqa_AGP0,976.8699964327677,0.0025005438856480306,0.3717422361168856,0.672,0.5374552188983848,-0.11370978315561697,0.17603301835673546,0.12429241663462602,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.019945144653320312
3,30,10,JuliaAIC_NeldMeader_AGP1,976.8399893700314,0.002264526747435607,0.3602667244730867,10.807,0.5374212759639276,-0.11355204048872145,0.17601879640423387,0.12429045656301049,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.019945144653320312
3,30,10,JuliaAIC_bobyqa_AGP1,976.8399897732066,0.002264120385801103,0.36092588489037297,2.437,0.5315953552947184,-0.11083673855405564,0.17583423502180925,0.12408746207110696,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.019945144653320312
3,30,10,JuliaLRT_Fast,0.0,0.0,0.6806666753648922,0.643,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.019945144653320312
3,30,10,JuliaLRT_Slow,0.0,0.0,0.6809013204805735,1.95,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.019945144653320312
4,30,10,NelderMead_nAGQ0,1016.0853402146017,0.019727943906707426,0.9680205125310407,2.6737608909606934,0.3996055954574713,-0.0038853224378640927,0.1713955111780265,0.09691238935832847,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.0159909725189209
4,30,10,NelderMead_nAGQ1,1016.0763472608521,0.01946230261851194,0.9862939754497084,9.105926990509033,0.4051685576262871,-0.004250414119164969,0.17340420019447753,0.2474220729684333,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.0159909725189209
4,30,10,Bobyqa_nAGQ0,1016.0853402146017,0.019727943906707426,0.9680205125310407,2.6525559425354004,0.3996055954574713,-0.0038853224378640927,0.1713955111780265,0.09691238935832847,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.0159909725189209
4,30,10,Bobyqa_nAGQ1,1016.0763386328152,0.01945978522047763,0.9861052138319921,6.487077951431274,0.40517593830273446,-0.004301966615854153,0.17340376949190306,0.24702065945663038,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.0159909725189209
4,30,10,nloptwrap_nAGQ0,1016.085701460775,0.019972649490454308,0.9488744286110316,0.50307297706604,0.3995468844733144,-0.0062149089628658425,0.17171065914122693,0.09692574449499695,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.0159909725189209
4,30,10,nloptwrap_nAGQ1,1016.0856298760225,0.021443539826026585,0.9799532384413411,1.1173460483551025,0.3995468844733144,-0.0062149089628658425,0.1737097968997637,0.24733461911367918,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.0159909725189209
4,30,10,R: LRT,0.0,0.0,0.6700722914905958,0.5076370239257812,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.0159909725189209
4,30,10,JuliaAIC_NeldMeader_AGP0,1016.0853152857356,0.019799480492019402,0.9663140161079309,3.525,0.3995950652408115,-0.004094724805841073,0.17149073735634085,0.09695862870464313,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.0159909725189209
4,30,10,JuliaAIC_bobyqa_AGP0,1016.085283502859,0.019743080883778186,0.9673109152348596,0.871,0.40973809435139064,-0.004990589120829178,0.17171510143176452,0.09734604452361185,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.0159909725189209
4,30,10,JuliaAIC_NeldMeader_AGP1,1016.2858173058601,0.01702577672477485,0.9591131774267753,15.913,0.4027311815351092,-0.004650350617138786,0.1715529478490487,0.09699272047142773,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.0159909725189209
4,30,10,JuliaAIC_bobyqa_AGP1,1016.0820507016364,0.018896727858013735,0.9617597912111603,14.668,0.39959991607656925,-0.003971796803662677,0.1714141974355678,0.09691762715798538,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.0159909725189209
4,30,10,JuliaLRT_Fast,0.0,0.0,0.9864869404727857,0.957,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.0159909725189209
4,30,10,JuliaLRT_Slow,0.0,0.0,0.6689955997290129,7.12,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.0159909725189209
5,30,10,NelderMead_nAGQ0,995.8750424963041,0.5376006777540968,0.4522568453723985,1.8280789852142334,0.1261316904633951,-0.0953534645154634,0.2046113336555486,0.12685753862285504,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
5,30,10,NelderMead_nAGQ1,995.8664428866464,0.5909802916262243,0.732867268739408,5.789991855621338,0.12758692757348306,-0.09719737286110895,0.237408128616176,0.2847741236781422,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
5,30,10,Bobyqa_nAGQ0,995.8750424963041,0.5376006777540968,0.4522568453723985,1.8334009647369385,0.1261316904633951,-0.0953534645154634,0.2046113336555486,0.12685753862285504,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
5,30,10,Bobyqa_nAGQ1,995.8664262140123,0.5921399543642225,0.7314211614856694,3.75217604637146,0.12725005864994843,-0.0977459292628634,0.2375231319969135,0.28477787658708453,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
5,30,10,nloptwrap_nAGQ0,995.9232405658499,0.515869306914488,0.44893889435146056,0.866743803024292,0.12795475743183723,-0.09227841817301115,0.19693652713353163,0.12187033479846077,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
5,30,10,nloptwrap_nAGQ1,995.8698413320056,0.5931535510221586,0.731947849939769,1.6770310401916504,0.12703434834750338,-0.09753177734750111,0.23777104832308527,0.28473470920669147,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
5,30,10,R: LRT,0.0,0.0,0.7957500988277625,0.566756010055542,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01495981216430664
5,30,10,JuliaAIC_NeldMeader_AGP0,995.8749529230481,0.5376092475383895,0.4522438204548664,4.621,0.12612977098360564,-0.0953567561343817,0.20461253091493833,0.1268582633104642,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
5,30,10,JuliaAIC_bobyqa_AGP0,997.5416819608959,0.4876316760154804,0.5875821242741606,0.551,0.12751921166972363,-0.09799809499069664,0.20476290689937657,0.12688102725453654,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
5,30,10,JuliaAIC_NeldMeader_AGP1,995.8687430918488,0.5334388331611367,0.4399000023036173,9.44,0.1274650326875022,-0.09744778769956958,0.2047777150551052,0.12700407846974007,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
5,30,10,JuliaAIC_bobyqa_AGP1,995.8663947849956,0.5336423393501528,0.4429145965537499,5.582,0.1366024915412684,-0.06828641776625101,0.19681070943981951,0.1259099811082462,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
5,30,10,JuliaLRT_Fast,0.0,0.0,NaN,0.589,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
5,30,10,JuliaLRT_Slow,0.0,0.0,0.7308813964787426,1.926,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.01495981216430664
6,30,10,NelderMead_nAGQ0,950.9106628594759,0.02580097548838985,0.15577925932455589,3.0260720252990723,0.398506382600903,0.21487109975838578,0.17876699731962659,0.15138047851367004,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.014961004257202148
6,30,10,NelderMead_nAGQ1,950.9007590963777,0.05749809886190605,0.4469323103602882,9.01064395904541,0.40424775112278744,0.21804041294429247,0.21281740944710956,0.2866918567814835,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.014961004257202148
6,30,10,Bobyqa_nAGQ0,950.9106628594759,0.02580097548838985,0.15577925932455589,3.0325748920440674,0.398506382600903,0.21487109975838578,0.17876699731962659,0.15138047851367004,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.014961004257202148
6,30,10,Bobyqa_nAGQ1,950.9007017746482,0.05746097577008471,0.44733031858637123,4.787529945373535,0.4043580442794781,0.21784701000828802,0.21284379730307157,0.2866885939969348,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.014961004257202148
6,30,10,nloptwrap_nAGQ0,951.0158441815179,0.024676557336079548,0.16309805397059773,0.42855310440063477,0.40104519577042774,0.21111895408726966,0.1785256676485405,0.1513693296346159,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.014961004257202148
6,30,10,nloptwrap_nAGQ1,951.0062004210268,0.057309722496736805,0.4590027502261432,1.149411916732788,0.40478948070143866,0.21258102442854146,0.21294161712584367,0.28708157509734555,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.014961004257202148
6,30,10,R: LRT,0.0,0.0,0.46085522056568795,0.37215399742126465,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.014961004257202148
6,30,10,JuliaAIC_NeldMeader_AGP0,950.9106593189593,0.025810787728342135,0.15569578543884954,5.517,0.3984827590180189,0.21491512362022214,0.17876822956843114,0.15138093402617608,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.014961004257202148
6,30,10,JuliaAIC_bobyqa_AGP0,951.0158315128529,0.024694315768437957,0.1629248652280209,0.348,0.4045541473698572,0.2177508170857427,0.17893526294071416,0.15155795954883594,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.014961004257202148
