iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,SEs_Accuracy,SEs_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
2,30,10,JuliaAIC_NeldMeader_AGP1,1040.1501307905646,0.6461196415598444,0.15217874555752206,12.346,0.07493145507163029,0.15601278196779803,0.16368705394291083,0.1081780716723074,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016921043395996094
2,30,10,JuliaAIC_bobyqa_AGP1,1040.150600642384,0.6471157931293345,0.1492502179363062,6.658,0.07686645033444862,0.1529725451075535,0.16347235386990452,0.10807581544012528,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016921043395996094
2,30,10,JuliaLRT_Fast,0.0,0.0,0.5485075785312682,0.874,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016921043395996094
2,30,10,JuliaLRT_Slow,0.0,0.0,0.543504908456091,2.382,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016921043395996094
3,30,10,NelderMead_nAGQ0,1037.2723470088972,0.4390479325763463,4.296482007580105e-5,2.720721960067749,-0.24241862621406907,-0.5118863747654819,0.31328253088901775,0.1251271639414663,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.01695704460144043
3,30,10,NelderMead_nAGQ1,1037.2515357690843,0.4242679180724867,0.0524776753139251,14.571513175964355,-0.2530909142857016,-0.5230281212584617,0.31674421360920335,0.2697141298723824,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.01695704460144043
3,30,10,Bobyqa_nAGQ0,1037.2723470088972,0.4390479325763463,4.296482007580105e-5,2.5617971420288086,-0.24241862621406907,-0.5118863747654819,0.31328253088901775,0.1251271639414663,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.01695704460144043
3,30,10,Bobyqa_nAGQ1,1037.25152270039,0.4238058906245504,0.05258855259393982,5.180176019668579,-0.25328410366089477,-0.522753637480673,0.3166700936672682,0.26969916144779715,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.01695704460144043
3,30,10,nloptwrap_nAGQ0,1037.5113833969785,0.4294909684083849,5.26908754998205e-5,0.4937319755554199,-0.24624734027650816,-0.5065146276775575,0.3116806328299688,0.1252707570358206,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.01695704460144043
3,30,10,nloptwrap_nAGQ1,1037.4916418299963,0.42540148338032074,0.05632299265540834,1.298557996749878,-0.25009790690893213,-0.5158993483238522,0.3137655426093476,0.270312679022709,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.01695704460144043
